Week,Day,Date,Time,Home,xG_H,Score,xG_A,Away,Attendance,Venue,Referee,Possession_H,Possession_A,PassCompleted_H,PassTotal_H,PassCompleted_A,PassTotal_A,ShotsTarget_H,ShotsTotal_H,ShotsTarget_A,ShotsTotal_A,SaveCompleted_H,SaveTotal_H,SaveCompleted_A,SaveTotal_A,Fouls_H,Fouls_A,Corners_H,Corners_A,Crosses_H,Crosses_A,Touches_H,Touches_A,Tackles_H,Tackles_A,Interceptions_H,Interceptions_A,Aerials_H,Aerial_A,Clearances_H,Clearances_A,Offsides_H,Offsides_A,Goal_Kicks_H,Goal_Kicks_A,Throw_Ins_H,Throw_Ins_A,Long_Balls_H,Long_Balls_A
1,Sat,2023-04-15,16:00,Palmeiras,3.0,2–1,1.0,Cuiabá,"35,835",Allianz Parque,Paulo Cesar Zanovelli da Silva,52%,48%,415,508,364,466,5,17,4,12,3,4,3,5,23,12,4,4,22,15,610,578,19,22,8,11,15,21,10,23,3,2,12,8,25,19,83,51
1,Sat,2023-04-15,16:00,América (MG),1.1,0–3,3.1,Fluminense,"6,653",Estádio Raimundo Sampaio,Braulio da Silva Machado,46%,54%,293,395,383,463,2,17,7,14,4,7,2,2,25,9,11,1,43,6,506,583,19,15,16,9,8,17,7,32,2,3,4,16,15,13,68,57
1,Sat,2023-04-15,18:30,Fortaleza,1.5,1–1,0.9,Internacional,"30,191",Estádio Castelão,Edina Alves Batista,48%,52%,348,455,398,502,6,24,6,11,5,6,5,6,18,13,5,1,27,9,564,626,17,19,12,15,19,16,14,25,0,2,6,11,24,17,67,36
1,Sat,2023-04-15,18:30,Botafogo (RJ),0.9,2–1,2.0,São Paulo,"11,708",Estádio Nilton Santos,Ramon Abatti Abel,33%,67%,253,335,592,682,3,12,8,16,7,8,1,3,20,13,3,7,15,18,444,781,9,15,17,6,11,11,19,13,2,1,7,6,19,10,55,71
1,Sat,2023-04-15,18:30,RB Bragantino,2.0,2–1,0.7,Bahia,"3,368",Estádio Nabi Abi Chedid,Maguielson Lima Barbosa,55%,45%,367,488,273,396,7,13,3,9,2,3,5,7,20,13,4,7,17,14,609,519,26,11,12,12,8,11,18,20,2,3,7,13,26,36,63,85
1,Sat,2023-04-15,18:30,Ath Paranaense,0.8,2–0,1.0,Goiás,"15,329",Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,44%,56%,306,410,428,530,3,11,2,16,2,2,1,3,19,18,3,8,20,23,529,639,16,12,12,10,23,26,16,26,1,1,10,5,18,24,75,61
1,Sun,2023-04-16,16:00,Corinthians,1.5,2–1,0.5,Cruzeiro,"41,304",Neo Química Arena,Anderson Daronco,41%,59%,334,443,531,636,7,12,2,8,1,2,5,7,14,12,7,4,15,24,545,747,19,14,12,7,14,7,23,21,4,3,5,8,16,31,65,60
1,Sun,2023-04-16,16:00,Flamengo,1.4,3–0,0.4,Coritiba,"42,848",Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,58%,42%,505,581,348,420,6,14,3,10,3,3,4,6,20,17,6,3,16,12,704,556,23,28,12,11,7,9,13,17,1,2,3,5,19,21,58,58
1,Sun,2023-04-16,18:30,Grêmio,1.6,1–0,1.2,Santos,"13,997",Estádio Alfredo Jaconi,Wilton Sampaio,45%,55%,327,433,417,530,6,16,4,16,4,4,5,6,12,16,4,11,11,31,576,662,28,25,11,12,15,13,19,15,1,1,13,7,16,25,60,62
1,Sat,2023-04-15,21:00,Atlético Mineiro,1.5,1–2,1.5,Vasco da Gama,"34,980",Estádio Governador Magalhães Pinto,Raphael Claus,74%,26%,562,676,155,242,10,26,3,7,1,3,9,10,15,10,14,3,46,12,794,401,20,27,6,12,16,12,10,36,2,2,3,10,23,15,54,68
